Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
6396,B000084EK6,A1Z54EM24Y40LL,c2,0,0,5,1091059200,Great food!,"This is another favorite in our house.  My cat doesn't want it more than 4 times a month or so, but he still wants it and licks the bowl clean.  It is fish, not his favorite, but he really likes his salmon and this one is outstanding.  It's ground (why don't they make a sliced or bits version?), not his favorite either, but he does get it down pretty quickly.  Try this one - it's a definite winner."
6397,B000084EK7,A1Z54EM24Y40LL,c2,0,0,4,1090972800,What's in this?,"This one is a great basic food. Whatever is in it, cats really go for and mine is no exception.  My current cat really doesn't like the ground variety which is what this is.  He will eat it occasionally, so I only buy it about twice a year.  My previous cat had to have it more often and really enjoyed it.  It's hard to judge what a cat will eat so if your cat likes ground, give this one a go because it really seems to be a big favorite."
7964,B004WM0ZTS,A20EEWWSFMZ1PN,"bernie ""webviator""",4,5,5,1281830400,Take a sharp object to defend your self,"Unlike most people, I prefer not a weak coffee but a milder roast than the burnt stuff most coffee houses make that requires many accoutrements to mask like cream, sugar and artificial flavors. Therefore, I purposely only tried the Columbian.<br /><br />I work in a place that has poorly serviced coffee ""dispensing machines."" They are fun in that you never know what will come out in a day-to-day basis. Some time just your coins back. A few people have illicit electric coffee pots, others use a French press, and still others sneak out for the real thing.<br /><br />Now that I discovered the Columbian Via. I have to defend my cup from all those noses that circle my cup. I know there are directions on the pack; however, I now have my own ritual.  Clean cup, fill 2/3rds filtered water. 90 seconds in the microwave.  Shake contents to bottom of pack.  Rip the whole top off the pack with teeth.  Pour pack in coup and watch sizzle. Stir for a few seconds.  Add a tad of ice. Hope I can make it back to my desk before the cup empties.<br /><br />I was never a fan of reconstituted coffee however I think it is the addition of the micro-ground coffee that adds the edge necessary.<br /><br />In any event you owe it to yourself to try it."
8029,B0012KH06Y,A1Z54EM24Y40LL,c2,2,2,3,1249516800,Great nutrition...,"These guys are quite high on the nutritional scale but on these marinated morsels varieties, well, they hate them.  They get stuck in my cats' teeth and although it can be quite comical watching them afterwards, it just ins't worth them only eating about half a can and tossing the rest down the garbage disposal.  I recommend them for the nutritional value and please try them if you cat loves chicken.  My rescue loves many of the other varieties and this stuff has improved her quality of life tremendously. Recommend!"
8223,B000BXUVYG,A1Z54EM24Y40LL,c2,1,1,4,1222300800,"Nice treat, make sure they CHEW them!","As with most cats I've read about here, both of mine gulp these down without even the slightest tooth mark in them.  This can make them vomit so my trick is to snap them in two so then they have to chew them because of the ragged edges.  I""m used to the snapping since I have Persians (they have smaller mouths than a regular Tom does) and these aren't hard to snap at all.  They love the taste of these although I'm not all that sure they really help with the furballs.  Does anything really help though?! :)  I do recommend these because of the great taste, but try snapping them in two if your cat has trouble vomiting after gulping his/her food."
11069,B004INIUQQ,A1Z54EM24Y40LL,c2,0,0,5,1325980800,"Loved by one, hated by the other","This is a new line for Friskies and is not a ""treat"" as the title implies. Just another can of cat food to try! My female loves this stuff, can't wait to get it in her dish, and gets quite angry whenever she gets anything else but this or the tuna variety. My male, forget it!  He loves the shredded turkey and cheese but won't go near this one.  Weirdest thing in the world to me - thought he'd go gaga over it like he does his turkey, but he just won't touch this stuff.  Anyway, this is a bit pricey here so check around for a better price.  At least in Ohio it's a bit high!  Highly recommend!"
11777,B0012KB4WU,A1Z54EM24Y40LL,c2,3,3,4,1249257600,Best of the florentines,"This one seems to be flavored more to a cat's liking than the rest of the Florentine varieties.  They're expensive, so buy one of each to see what floats with your cat but here, one will eat this and the other one won't.  It is gobbled up quite quickly too, I might add, by one of them so there you go!  Anyway, the greens addition is great for cats, they seem to like it in their other varieties, and they're high on the nutrition scale. So, if you're looking for higher protein and better nutrition all around, be sure to give these a go.  In our house, the pates have fared the best over the shreds and particularly, these florentines.  The egg soufles seem to be the favorites here - they ""hoover"" them down so fast they barely come up for air!  Recommend!"
12667,B000FKL0EU,A20EEWWSFMZ1PN,"bernie ""webviator""",1,2,5,1329350400,Wintergreen is my favorite flavor,"Called ""Frozen Tongue"" this was the second flavored released by ALTOIDS in 1998.<br /><br />ALTOIDS mints were first produced in England at the turn of the 19th century during the reign of King George III.<br /><br />Ingredients: sugar, artificial flavor, gum Arabic, gelatin, corn syrup, natural flavor.<br /><br />My first encounter with wintergreen was in a heat rub (I smelled it but did not eat it.) Then I found it in some circular candy with a hole in the middle. Now I keep a tin of ALTOIDS at work, home and in the car."
13293,B003H26J5I,A27X750TSCLBD,"Natasha Fletcher ""Earth Worm""",2,2,5,1320105600,YUMMY if you can cook,"I LOVE these noodles.  You HAVE to cook them right, drain and rinse or they WON'T be tasty.  I drain them and rinse until very little scent of soy is left then add to HOT pan with a little coconut oil. I add garlic, onion, red pepper flakes and a little salt and cook for a while then i eat em like ramen with a slice of cheese .  Very good diet food."
15854,B007TJGZ5E,A1BJHZE41QWBX6,"Sharon Pipke ""Sharon""",0,0,5,1349568000,"Green Mountain Coffee, Nantucket Blend K-Cup Portion Pack for Keurig Brewers, 50 count",I received the order in time. I love the flavor of this coffee and I can only make one cup of coffee at a time so I have a fresh cup of coffee all the time.
16442,B007TJGZ54,A1Z54EM24Y40LL,c2,0,0,4,1350345600,"Not the best, but CERTAINLY, not the worst!","This is a breakfast blend coffee and, for many coffee producers, a breakfast blend also means ""the strongest daggone brew we can make"" mentality.  Well, caffeine is caffeine and this guy is a bit strong for me.  I prefer Caribou's breakfast blend over this Green Mountain version. It's just entirely more smooth, no bitterness at all, and just a very enjoyable cup of coffee.  I think this one tastes a bit burnt, like Starbuck's, not at all as nice as some of their other blends (especially the pumpkin spice - awesome!).  Try it to see if it suits your taste but get the 12-pack first.  Otherwise, if you think the way I do, 24 of these guys is a LOT of coffee to wash down!"
16443,B007TJGZ54,A1KPKQZ1GMKAKO,Norma,0,0,5,1350345600,Great Coffee,"When I bought my coffeemaker, tried out several different brands and types of coffee but this one has become a stable.  I can count on it for a great cup of coffee - not too strong or too mild, just the way I like it.  Unfortuantely, I now drink more coffee than I probably should because of the taste but that's the only downside."
16444,B007TJGZ54,ALEABNMSVO1JI,gibble,0,0,5,1350172800,awesome coffee,"I have enjoyed this brand of coffee for several years now and it has been consistent in flavor!  I was happy to see that it came in a 50-count box....with cold weather approaching, I will be drinking a LOT more coffee."
16445,B007TJGZ54,A2AAA0U5QD5TGB,DVDLOVER,0,0,5,1350086400,Great buy for K-Cups,"If you love your Keurig coffee brewer, you'll love this buy for Green Mountain 50-count Breakfast Blend Coffee K-Cups. GREAT!!!"
16446,B007TJGZ54,A2WK0Q0WABVVH,bowtie55,0,0,3,1350086400,not to crazy,"Love green mountain coffee, but the breakfast blend was not strong or bold enough for me, will try stronger and bolder ones and get back to you all with another review, thanks"
16447,B007TJGZ54,A1N58XGILUVX6S,Martin B. Kerschus,0,0,3,1350000000,Too weak,I expected a little more flavor as I usually like Green Mountain Coffees.<br />Next time I'll look for a French Roast!
16448,B007TJGZ54,A1B3SY3J47EXZE,Terry Defosse,0,0,5,1349827200,50 count Green Mountain Breakfast Blend K-Cups,"I recently purchased the 50 count Green Mountain Breakfast Blend and I have to say that the price was unbeatable, Not to mention the coffee. I only drink Green Mountain Coffee. I only wish they could offer more variety in the 50 count. I will and am going to continue buying this brand of coffee.Love it- Love it- Love it<br /><br />  Thank You Green Mountain Coffee"
16449,B007TJGZ54,A2SNPFTCYI60V2,D. Bright,0,0,2,1349827200,Not my favorite coffee.,"Seems very weak.  I must be honest, I ordered the wrong coffee.  I was sad. This isn't bad as a base for an iced coffee."
16450,B007TJGZ54,AN71KYKFED796,Lesley V.,0,0,5,1349740800,Green Mountain coffee,Such a great product! Delivered fast & fresh. Can always rely in Green Mountain & kcups are great for people on the go & want 1 cup.
16451,B007TJGZ54,A1BJHZE41QWBX6,"Sharon Pipke ""Sharon""",0,0,5,1349568000,"Green mountain Coffee, Breastfast Blend K-cup Portion Pack for Keurig Brewers, 50 Ct.","I received the order in time. I love the blend of coffee, I use the Keurig machine every day.This is a decafe coffee, I also use regular blend."
18758,B001534R00,A2C2I3VM7FT4PQ,barby153,3,3,5,1284249600,Love the flavor!,"This is my pre-workout, afternoon pick me up every day drink, love it!  Dont' know about burning any actual calories but it's a great energy drink with no jitters."
19063,B001FA1EZ4,A1Z54EM24Y40LL,c2,2,2,5,1269129600,Super yum!,"I just love Hershey's chocolate anyway, so it's pretty hard for them to totally muck up something enough to have me dislike it.  These guys are just awesome!  I love almonds and well, they're supposed to be pretty healthy and when combined with chocolate, well, what an excuse to eat healthy! They do provide a bit of protein so if you're starving, they help somewhat to alleviate that.  They're just awesome on their own - highly recommend!"
19966,B001G0NKVO,A1Z54EM24Y40LL,c2,3,3,5,1304467200,Great starter for this variety,"In case you're wondering, this is a pate, and not the hunk variety.  That said, I have one cat that will eat this and one that will not.  I've never had a male that will eat a pate, no matter what the variety and this one is no exception.  The female, she just lOVES this stuff.  I mix it with a bit of water and microwave it for about 8 seconds since it's pretty thick in the can. The quality is quite good on this stuff too - almost like Fancy Feast.  It's a bit rich and will fill you cat up quite nicely too.  Great stuff, loved sincerely in this house, highly recommend!"
22609,B002CJAOTY,A1Z54EM24Y40LL,c2,0,0,5,1338249600,"Great food, very meaty smelling and appetizing","My salmon loving Persian thinks this is her second favorite so I've bought enough of this stuff to own the company! She goes made for it and always cleans the bowl whenever it is served. Great stuff, but if you're looking for a higher protein content like I'm usually doing for this little girl, then go with the Fancy Feast version of this. It's almost double the protein and if you're working on a rescue cat, then that will make all the difference in the recovery process. I've sat on the floor for many hours hand-feeding wet cat food to this cat to encourage her to eat and this one, is her second favorite! But, check the price locally. I can get this down to about thirty-three cents a can when it's on sale and with a coupon. Pretty high here. Highly recommend!"
23078,B004ZIER34,A1Z54EM24Y40LL,c2,0,0,4,1312502400,"LOVE the low acid, quite strong, however","Overall, if you're looking for a low-acid, ""he-man"" coffee, then be SURE to grab this!  It's quite amazing the difference this low acid coffee can make to your stomach and I could even drink the entire pot of the stuff! Normally, I take coffee completely black, no additives whatsoever.  But, with this french roast, it's quite strong.  REALLY strong and definitely, less is better in the pot. If you're a fan of Starbuck's Verona coffee and have no trouble drinking that stuff black, this is your best bet for a low acid coffee.  Combined with cream and sugar, then no problem.<br /><br />I tried this coffee just wondering if I could really tell the difference between regular and low acid coffee.  There IS a difference! The flavor is quite good but doesn't end smoothly like oh, say, Folger's might, but this is a gourmet coffee and will carry a stronger punch than a commercial coffee like Folger's will.  I plan on trying a different roast too since my tastes are more towards a full-bodied coffee instead of the kind that tastes like it was made in Texas during the Wild West days!  This ends a bit rough, kinda like the Starbuck's Verona, not as smoothly as I would prefer.  I made it with bottled water, not tap, to get the full flavor and aroma, so keep that in mind when deciding on which flavor to choose.  I am going to continue to play with this flavor to see if I can get it to suit my tastes better.  If you try it and it's too strong, then I suggest you dump the pot onto your roses!  Makes them quite gorgeous, actually!<br /><br />This is a great product, particularly if you're looking for the low acid variety.  I sincerely doubt you'll find a better low-acid coffee out there.  But, if you're like me and prefer a more smooth, well-rounded roast, then I suggest you try one of the other roasts.  Great product, highly recommend!"
24369,B007OADN6C,A1Z54EM24Y40LL,c2,0,0,5,1338076800,Completely awesome!,"If you happen to have someone in your house that isn't overly wowed over an entire chocolate cookie, but just wants a taste, grab these!  I buy both these and the chocolate variety and they're loved as much as the chocolate.  It's just nice to have that difference when you're ""chocolated out"" at Christmas, and just want something a bit lighter, particularly in the summer.  The boys in this house love them as much as the chocolate ones and actually, prefer them most of the time.  The chocolate creme centers in this version is the same as the regular Oreo, just not overly rich.<br /><br />Great, great product, been waiting for YEARS for these to come out.  Highly recommend!"
24769,B000634IC2,A1Z54EM24Y40LL,c2,1,2,3,1222300800,"Not bad, if you can stand the smell!","I grabbed a bag of this when it went on sale at the local market and, although one of my cats really likes it, I can't stand the smell!  Honestly, it smells like horse doo.  Whenever she jumps in my lap after eating this stuff, it about makes me gag!  It has to be the strangest smelling cat food I've ever used, which is why I wanted to write this review.  Just thought it was rather strange. I don't plan on buying it again because of that - the smell is Blech!  It isn't her favorite food, but it's tolerable, especially if mixed with a little meat.  The protein content isn't as high, only 30% because it's for the indoor cat.  I would recommend it for that reason because it does help with the weight factor. Just be careful,your nose will have to be made of steel to get past the smell!"
32234,B000MICPSA,A1Z54EM24Y40LL,c2,1,2,5,1203465600,Great stuff!,"If you need fast food, fairly decent food, then grab these by all means! They are absolutely great in a pinch and taste even better with a dab of butter melted on top.  Kids can toss these in the microwave and have a fairly decent lunch.  They taste great, hubbies love them too, although they probably need two to fill them up, along with a sandwich, and they're a decent value.  Recommend!"
33306,B000G7P50M,A1Z54EM24Y40LL,c2,0,1,3,1249257600,"Love the taste, but they break off your teeth!","That said, they are the best tasting things around so if you love a hard, cruchy pretzel, this is your brand!  They just taste superb but they really play havoc on my teeth so I really cannot eat them.  Or, just soak them in a glass of Coke like the children do and well, you get two treats in one!  Highly recommend!"
33536,B006N3I84I,A1BJHZE41QWBX6,"Sharon Pipke ""Sharon""",0,0,5,1349568000,Tully's Italian Roast K-Cup packs for Keurig Brewers (Pack of 50),I received this order on time. I was late in getting this review out. I drank all the coffee already. I love the favor of the coffee.
35654,B0012KH0CS,A1Z54EM24Y40LL,c2,3,3,5,1249171200,Awesome flavor!,"If you have Persians, you know how fussy they can be about their food.  Which is probably why they use one to advertise this food! :) Anyway, believe it on this flavor.  When you open the can, it just smells like fresh fish.  Honestly, can't say I've ever smelled a cat food that smelled like people food, but this one certainly does!  My cat goes mad for it -she just cannot get it in her mouth fast enough.  It's quite comical watching her eat it too - it is almost like she turns into a Hoover vacuum and well, it's gone in a flash!  The price here is about eighteen cents a can higher than what I pay for it but for this flavor, I would consider it!  Highly recommend!"
36004,B0050OIU4O,A1Z54EM24Y40LL,c2,0,0,5,1325980800,Loved by my Persian!,"My little female American Persian thinks that this version, along with the chicken version, needs to be the ONLY kind that Fancy Feast produces. However, my male English Persian sincerely has his nose up in the air over this one, totally has his knickers in a twist about it.  Actually howls if he ever finds it near him!  Yes, he's quite the character but normally loves Fancy Feast, along with many others Friskies distributes.  These do contain a higher level of protein than most cat foods which makes them great for a rescue cat like my female.  It helped build up her muscle mass (as well as her vocal chords!) and put the necessary weight on her tiny frame.  Great, great product, she goes completely mad for it, highly recommend!"
39033,B002PXEQCS,A20EEWWSFMZ1PN,"bernie ""webviator""",1,1,5,1344643200,Get them free in your SP Pack,"Yep I used to get them for free. All you had to do was go out into the field in Viet Nam (67-68). And they would send a box of goodies ""Sundries Pack (SP)"" that would have Chuckles on the top layer. You guessed it when the box was opened it looked like a shark feeding frenzy. I guess I never got over it and to this day have to have a Chuckles fix periodically.<br /><br />The sugar coating keeps them from being sticky. The artificial flavors are seductive. The black ones taste like licorice."
40679,B000JZ92DW,A1Z54EM24Y40LL,c2,0,0,5,1270684800,"Awesome! Part candy, part cookie. Everyone's happy!","I can still remember when these guys first came out. We all rushed out to buy them and found out what a fantastic snack they were for a teenager! Honestly, candy mixed with a cookie.  Not only filling, but tastes fantastic.  What could be better? Maybe a glass of milk to chase it down! I've always loved these things and grab them still out of my child's candy bag each fall. They're still just as filling if you need an afternoon pick-me-up, but not overly fattening as if you've eaten a Snicker's bar (250 calories).  Love these things, still same great taste after all these years. Highly recommend!"
41378,B0096EZHM2,A1Z54EM24Y40LL,c2,1,1,5,1249344000,Great selection!,"This box has the varieties my female likes.  The cod, sole, and shrimp one is the top-of-the-line in her opinion.  The rest of them she likes too and eats them almost daily.  Since she was a rescue, I'm cautious about what she eats and this product has been very successful in both her palate choices as well as her coat and strength development.  Can't thank the good folks at Friskies enough for this stuff - it's helped restore her to the gorgeous cat that she's become.  Highly recommend!"
42543,B001UP2ULQ,A27X750TSCLBD,"Natasha Fletcher ""Earth Worm""",3,5,5,1290816000,gREEN qUeen,"Well as everyone knows, green tea is super healthy and good, take 8 tea bags heat 4 cups water to nearly boiling and steep for 4 minutes, fill your tea pitcher half way with cool water and stir in 1/8 tsp of stevia add steeped tea and stir then rinse tea bags with fresh water and add to pitcher. Add ice and it's pure heaven!  so refreshing!"
43108,B000HDJZEM,A1HH93OWA6XV1Q,DC,2,4,1,1344124800,Caveat Emptor on this Caviar!  Well packaged Budget Caviar - But I got Sick from this!,"Hate to give a bad review but hopefully people who are at least sensitive to this brand will find benefit and avoid this item:<br /><br />I was raised with Seafood and used to eating caviar/roes and was very happy with some of the Romanoff purchases but I got sick off of this brand.<br />Almost like a bacteria attack on my body and really bad feeling and I'm a very fit guy.  I tried the Capelin because it was from the same Icelandic environment like Romanoff and similar brands and couldn't beat the pricing with what looks like a great ""fancy"" packaging and opted out of my Salmon choice to try a new type of fish.  Ultimately a Very Bad Idea especially if someone would have been older with a weaker immune system. Stick with the familiar fish over this one.<br /><br />Caveat Emptor on this Caviar!!!"
43957,B00434MNNQ,A1Z54EM24Y40LL,c2,0,0,4,1328400000,Pretty good,"I have been buying Progresso's soups off and on for quite a few years and have found many of them to be a bit ""under the spice radar,"" but this one is quite good. Don't think you're going to get a restaurant quality soup, but as the wife of an Italian, this one isn't ""too bad,"" I've been told. I do have to doctor it up quite a bit with seasonings, but other than dumping out a TON of unnecessary broth, it's quite a companion to your favorite sandwich. Even my 10-year-old requests that I add my spices to it - it's just too bland! Other than that, I do suggest you buy it but with the knowledge that you'll have to add your own special touches."
47486,B00317ERXA,A1Z54EM24Y40LL,c2,0,0,3,1338249600,"Ummm, not the house favorite","Ours is officially ""the house of sugar"" and the Titans that live here have decided that these are about the worst cookies I've ever brought home!  They're about the size of their thumbs and well, they just taste nasty!  There's really no real cheesecake taste, just some sort of ""stuff"" there in the middle that isn't pleasing at all.  It's bad when a bunch of hungry boys will deliberately pass these by - that just about says it all, or so I think!"
47770,B002UP2TG6,A1Z54EM24Y40LL,c2,0,1,3,1326326400,"Larger kibble, Persian CANNOT get it into his mouth!","I honestly think I've been through the entire world's selection of dry cat foods.  The winner?  Purina Pro Plan's Salmon formula.  That's wolfed down entirely and no teeth marks in them either.  This stuff, however, he desperately tried to eat but could not because of the huge size of the kibble.  Now, I have had dog food that had a smaller kibble than this stuff has - but he really wanted to eat it so being the dedicated cat person that I am, I smashed a few of them and hand-fed them to him.  The guy just gobbled them up!  He just loves the flavor, but I can't buy it unless I take stock in Sears - all those hammers I'll have to go through just to break it up small enough for him.  Looks like this one gets to go back to the store as well. If you have a hefty 20 pound Tom cat like I had, then give this a try.  If not, try Pro Plan."
50735,B000084EKY,A1Z54EM24Y40LL,c2,2,2,4,1090540800,"Great food, but a little pricey","This stuff is really nice to have around as a &quot;special treat&quot; for your cat, but I wouldn't introduce it as a regular daily diet or you may wind up in the poor house. It's pricey and the cans are very small, but if you want to spoil your cat for his birthday, holidays, etc., then they're great for that. My cat doesn't really care for most of them - he prefers the chicken hearts and livers the most, but could care less if he has it or not. I buy these occasionally, but it really isn't worth it too much for me to do so because he just doesn't care that much about the taste. It doesn't drive him to his dish and actually, he leaves a lot of it there and just wants his regular old Friskies. I have a Persian too, just like the commercial, but mine doesn't really like it!"
50752,B000F9Z1XM,A1Z54EM24Y40LL,c2,10,10,5,1199577600,"Great snack, convenience","Love fig newtons!  These are really fresh individually sealed, unlike their 1lb counterpart packages that have a tendency to get stale rather quickly.  These are worth the extra cost for that reason alone.  But, they're grab and go snacks too that are somewhat healthy for you than a regular cookie.  They also make great treats for after ballgames and other sports.  We love these in our house, highly recommend!"
52189,B0012KK4AI,A1Z54EM24Y40LL,c2,0,0,5,1249171200,Loved in this house!,"My problem kitty seems to love this gourmet series from Fancy Feast.  She can't have the bit sized version since her previous owner kicked out half of her teeth, but these have proven to not only put weight on her (she was starved when I got her), but also build up her muscle mass, increase her alertness, develop better skin tone, and well, you should see how shiny her coat has become with these foods.  Great stuff, great job Friskies! Highly recommend!"
54833,B0012KB4GG,A1Z54EM24Y40LL,c2,0,0,5,1249516800,Not his favorite.....,"I'm not sure why my guy doesn't like these sliced varieties for the most part, he loves them in the Friskies general line, but not these.  This one also has liver in it which may be why - he absolutely hates liver.  I recommend these for their great nutritional value but again, mine didn't care for the taste at all.  I've tried it on him more than once since he loves beef in general (loves it raw too!), so this one is a total mystery to me.  Recommend but with the above experience."
56499,B000EMQFF8,A1Z54EM24Y40LL,c2,1,3,5,1202688000,"Great, fun snack!","These things are hysterical to watch a child eat.  They are so good too, they just gobble them up in no time at all.  If you're having a party, these are especially nice because of the tongue tatoos.  The flavors are wonderful and they never last very long in this house.  Parent enjoy them too and they make a great lunch snack or for sports teams. Highly recommend!"
56723,B0012XBD7I,A32NC2UF34RJQY,D. Pagliassotti,0,0,5,1351209600,Great for HS lunch,"Great for HS lunch, kid enjoy as a snack also, will buy again. Salted chips are good too, tried them too."
57538,B0028LGNSM,A1Z54EM24Y40LL,c2,3,3,5,1316822400,Only one I buy now,"I have a pancake junkie in my house and this, by FAR, is the absolute best mix available on the market.  It's just so very light, just like cake flour when you use it.  The only one i've found that's better is the Pioneer brand and that's only sold in the South.  Being a Northerner, I just have to suffer through but this brand is a very close second.  It's SO easy just to make one pancake too - just 1/2 cup of this and a 1/4 cup of water and it's in the pan!  Great for busy school mornings, especially with chocolate chips.  I also add an egg into the mix to give it more protein so the kids can make it to lunch without starving.  Great, great product, LOVE it! Highly recommend!"
58010,B0012KCUVO,A1Z54EM24Y40LL,c2,2,2,5,1249430400,"Great food, nice surprise","As the previous reviewer indicated, it does look ground but when you put it into the dish and separate it, you can tell that it is indeed flaked.  I brought this one home on a fluke and wow, did it disappear quickly.  My rescued Persian never had anything like it before and just didn't quite know what to do with this food.  She loved it so much, she just came up and purred all night after eating it.  Looked like she just had Thanksgiving dinner.  She rolled over on her back, burped soundly, and took a very long snoozer.  And did I see a smile on her face?  Looked like it to me! Great, great selection, highly recommend!"
58208,B003Y3NOP8,AXLWYATME4LVK,S. Wild,1,1,5,1321315200,Great product,"Love the ingredient list. Checked at all the stores in my area and could not get this item at all, much less at the price I got if for here."
